Wall time,Step,Value
1716660218.324077,366592,-10.217155456542969
1716660267.7838042,367616,-10.219452857971191
1716660315.1786714,368640,-10.478119850158691
1716660362.3605857,369664,-11.091856002807615
1716660409.8737063,370688,-11.319465637207031
1716660456.73933,371712,-13.205517768859863
1716660505.4213898,372736,-13.364667892456056
1716660552.0495565,373760,-13.99594497680664
1716660600.9505816,374784,-14.29318904876709
1716660647.8469458,375808,-14.763529777526855
1716660694.9323945,376832,-14.947229385375977
1716660742.6584158,377856,-15.080690383911133
1716660790.3843298,378880,-14.98608684539795
1716660841.0956638,379904,-15.09144115447998
1716660889.5446992,380928,-15.176568984985352
1716660937.9235327,381952,-15.216793060302734
1716660984.990476,382976,-14.942419052124023
1716661033.7512505,384000,-14.924750328063965
1716661081.5730314,385024,-15.414161682128906
1716661130.0291564,386048,-15.230368614196776
1716661177.8481145,387072,-14.92977237701416
1716661226.94568,388096,-14.908831596374512
1716661274.938906,389120,-15.356924057006836
1716661323.7499073,390144,-15.181807518005373
1716661371.3901746,391168,-15.611720085144045
1716661421.1908605,392192,-15.67633056640625
1716661469.2267692,393216,-15.72995948791504
1716661519.6453247,394240,-15.789483070373535
1716661568.6676466,395264,-16.365135192871094
1716661618.0054228,396288,-16.219669342041016
1716661666.0085945,397312,-16.572023391723633
1716661715.0503426,398336,-16.775983810424805
1716661763.2626631,399360,-16.74308204650879
1716661813.0220675,400384,-16.726533889770508
1716661861.520233,401408,-16.856374740600586
1716661910.907126,402432,-16.758880615234375
1716661959.0648751,403456,-16.84134864807129
1716662009.0704763,404480,-17.65802764892578
1716662059.299656,405504,-17.973134994506836
1716662110.305518,406528,-18.587875366210938
1716662159.890072,407552,-19.55854034423828
1716662209.0086846,408576,-20.059009552001957
1716662256.7032788,409600,-20.786569595336918
1716662305.9648788,410624,-21.339828491210938
1716662353.539808,411648,-22.20612144470215
1716662402.450985,412672,-22.91612434387207
1716662450.9606612,413696,-23.84871482849121
1716662500.982228,414720,-24.257102966308597
1716662549.4986868,415744,-24.558040618896484
1716662598.5141816,416768,-25.190109252929688
1716662646.6890976,417792,-25.850852966308597
1716662696.051611,418816,-26.99360466003418
1716662745.0788374,419840,-27.65015983581543
1716662793.7446716,420864,-28.48356819152832
1716662844.7099433,421888,-29.332275390625
1716662893.255406,422912,-29.848615646362305
1716662942.23814,423936,-30.269271850585938
1716662990.0818572,424960,-30.69013977050781
1716663039.8187563,425984,-31.21365547180176
1716663087.77215,427008,-31.71459007263184
1716663137.1137872,428032,-32.6046142578125
1716663186.0184348,429056,-33.39482116699219
1716663235.7135649,430080,-33.84532165527344
1716663284.6840112,431104,-34.14967346191406
1716663336.0072317,432128,-34.67826843261719
1716663385.3836875,433152,-35.10287857055664
1716663434.8843455,434176,-35.62670135498047
1716663483.312477,435200,-36.27658081054688
1716663532.5459857,436224,-36.829368591308594
1716663583.1987822,437248,-37.53879165649414
1716663631.2671807,438272,-38.5134162902832
1716663681.036931,439296,-39.69662857055664
1716663729.3044674,440320,-40.30536651611328
1716663779.6299582,441344,-41.61439895629883
1716663830.081465,442368,-42.16965866088867
1716663880.4979966,443392,-42.65191650390625
1716663930.5597768,444416,-43.34199523925781
1716663979.656234,445440,-44.39664840698242
1716664030.081391,446464,-45.21482849121094
1716664079.3859034,447488,-45.7951545715332
1716664129.7000833,448512,-46.39571380615234
1716664180.6981664,449536,-47.10606384277344
